名稱,地址,電話,傳真,服務時間
卓蘭就業服務台,苗栗縣卓蘭鎮新厝里中山路127號,(04)25899011,(04)25899011,08:00~17:00(午休12:00~13:00)
造橋就業服務台,苗栗縣造橋鄉造橋村14鄰老庄3-1號,(037)544557,(037)544557,08:00~17:00(午休12:00~13:00)
北苗就業服務台,苗栗縣苗栗市中華路143號,(037)277785,(037)277785,暫不對外開放
桃園市政府就業職訓服務處,桃園市桃園區民生路650號2樓,(03)3322101,(03)3330247,08:00~17:00
桃園就業服務台,桃園市桃園區民生路650號,(03)3347256,(03)3330247,08:00~17:00(午休12:00~13:00)
中壢就業服務台,桃園市中壢區環北路380號,(03)4252259,(03)4252269,08:00~17:00(午休12:00~13:00)
平鎮就業服務台,桃園市平鎮區振興路5號,(03)4587885,(03)4588500,08:00~17:00(午休12:00~13:00)
大園就業服務台,桃園市大園區中正西路12號,(03)3856074,(03)3859866,08:00~17:00(午休12:00~13:00)
觀音就業服務台,桃園市觀音區觀新路56號,(03)4738038,(03)4738100,08:00~17:00(午休12:00~13:00)
龜山就業服務台,桃園市龜山區中山街26號,(03)3599795,(03)3599823,08:00~17:00(午休12:00~13:00)
楊梅就業服務台,桃園市楊梅區大成路2號,(03)4856886,(03)4855123,08:00~17:00(午休12:00~13:00)
八德就業服務台,桃園市八德區中山路47號,(03)3653602,(03)3655679,08:00~17:00(午休12:00~13:00)
蘆竹就業服務台,桃園市蘆竹區南崁路150號,(03)3126720,(03)3225808,08:00~17:00(午休12:00~13:00)
大溪就業服務台,桃園市大溪區普濟路11號,(03)3885835,(03)3885839,08:00~17:00(午休12:00~13:00)
龍潭就業服務台,桃園市龍潭區中興路690號,(03)4804253,(03)4704653,08:00~17:00(午休12:00~13:00)
新屋就業服務台,桃園市新屋區中山路265號,(03)4773391,(03)4773393,08:00~17:00(午休12:00~13:00)
桃園市銀髮人才服務據點,桃園市桃園區崇法街4號,(03)3012207,(03)3012209,08:00-17:00(午休12:00-13:00)
桃園市原住民族就業服務據點,桃園市中壢區中山東路4段36號1樓,(03)4663358,(03)4663319,08:00-17:00(午休12:00-13:00)
新竹市銀髮人才服務據點,新竹市東區龍山西路99號1樓,(03)5795686,(03)5795568,08:00-17:00(午休12:00-13:00)
苗栗縣銀髮人才服務據點,苗栗縣苗栗市縣府路102號1樓,(037)370591,(037)370592,08:00-17:00(午休12:00-13:00)
新竹縣銀髮人才服務據點,新竹縣湖口鄉光復東路115號,(03)6960016,(03)6960075,08:00-17:00(午休12:00-13:00)
中彰投分署,台中市西屯區工業區一路100號,(04)23592181,(04)23552039,08:00~17:00
彰化就業中心,彰化市中山路二段838號,(04)7274271,(04)7296628,08:00~17:00(12:00~13:00，值班人員服務)
員林就業中心,彰化縣員林市靜修東路33號,(04)8345369,(04)8367573,08:00~17:00(12:00~13:00，值班人員服務)
南投就業中心,南投縣南投市彰南路二段117號,(049)2224094,(049)2222834,08:00~17:00(12:00~13:00，值班人員服務)
南投就業中心-埔里分站,南投縣埔里鎮北辰街101號,(049)2990195,(049)2990728,08:00~17:00(午休12:00~13:00)
青年職涯發展中心,臺中市西區市府路6號,(04)22222700,(04)22220651,每週二至週六09:00~18:00(12:00~13:00，值班人員服務)
中彰投區銀髮人才資源中心,臺中市北區中清路一段98號,(04)22030300,(04)22039661,08:00~17:00(午休12:00~13:00)
豐原就業中心(委辦),臺中市豐原區社興路37號,(04)25271812,(04)25253993,08:00~17:00(12:00~13:00，值班人員服務)
石岡就業服務台(委辦),臺中市石岡區豐勢路134號2F,(04)25811151,(04)25811161,08:00~17:00(午休12:00~13:00)
和平就業服務台(委辦),臺中市和平區南勢里東關路三段156號,(04)25943083,(04)25941158,08:00~17:00(午休12:00~13:00)
新社就業服務台(委辦),臺中市新社區復盛里興社街二段28-1號,(04)25810882,(04)25826437,08:00~17:00(午休12:00~13:00)
大雅就業服務台(委辦),臺中市大雅區雅環路二段299號,(04)25605892,(04)25691783,08:00~17:00(午休12:00~13:00)
神岡就業服務台(委辦),臺中市神岡區神圳路2之1號,(04)25631565,(04)25611365,08:00~17:00(午休12:00~13:00)
后里就業服務台(委辦),臺中市后里區福音路89號,(04)25584691,(04)25582763,08:00~17:00(午休12:00~13:00)
潭子就業服務台(委辦),臺中市潭子區加工區建國路1號,(04)25346908,(04)25346903,08:00~17:00(午休12:00~13:00)
中科就業服務台(委辦),臺中市大雅區中科路6之1號,(04)25607437,(04)25688320,08:30~17:30(午休12:30~13:30)
沙鹿就業中心(委辦),臺中市沙鹿區中山路658號(沙鹿區勞工服務中心1樓),(04)26231955,(04)26233663,08:00~17:00(12:00~13:00，值班人員服務)
龍井就業服務台(委辦),臺中市龍井區沙田路四段247號,(04)26352049,(04)26355045,08:00~17:00(午休12:00~13:00)
中港就業服務台(委辦),臺中市梧棲區大觀路6號,(04)26595180,(04)26595042,08:00~17:00(午休12:00~13:00)
梧棲就業服務台(委辦),臺中市梧棲區雲集街70巷1號,(04)26584167,(04)26584521,08:00~17:00(午休12:00~13:00)
清水就業服務台(委辦),臺中市清水區中社里鎮政路101號,(04)26283542,(04)26277392,08:00~17:00(午休12:00~13:00)
大安就業服務台(委辦),臺中市大安區中庄村中山南路356號2樓,(04)26714034,(04)26715477,08:00~17:00(午休12:00~13:00)
外埔就業服務台(委辦),臺中市外埔區大同村六分路390號,(04)26837952,(04)26838046,08:00~17:00(午休12:00~13:00)
臺中就業中心(委辦),臺中市市府路59-1號,(04)22225153,(04)22272406,08:00~17:00(12:00~13:00，值班人員服務)
太平就業服務台(委辦),臺中市太平區中平路144號,(04)22799570,(04)22750421,08:00-17:00(午休12:00-13:00)
霧峰就業服務台(委辦),臺中市霧峰區四德路10號,(04)23308102,(04)23396250,08:00-17:00(午休12:00-13:00)
烏日就業服務台(委辦),臺中市烏日區烏日村新興路316號,(04)23367438,(04)23379061,08:00-17:00(午休12:00-13:00)
芬園就業服務台,彰化縣芬園鄉芬草路二段290號,(04)92521436,(04)92511516,08:00-17:00(午休12:00-13:00)
花壇就業服務台,彰化縣花壇鄉彰員路二段586號,(04)7876017,(04)7883100,08:00-17:00(午休12:00-13:00)
秀水就業服務台,彰化縣秀水鄉中山路290號,(04)7686205,(04)7699489,08:00-17:00(午休12:00-13:00)
福興就業服務台,彰化縣福興鄉橋頭村彰鹿路7段495號,(04)7748611,(04)7841460,08:00-17:00(午休12:00-13:00)
線西就業服務台,彰化縣線西鄉和線路983號,(04)7586352,(04)7589378,08:00-17:00(午休12:00-13:00)
溪州就業服務台,彰化縣溪州鄉尾厝村溪下路四段560號,(04)8891203,(04)8894781,08:00-17:00(午休12:00-13:00)
埔心就業服務台,彰化縣埔心鄉義民村員鹿路二段344號,(04)8280886,(04)8296667,08:00-17:00(午休12:00-13:00)
二水就業服務台,彰化縣二水鄉裕民村南通路二段764號,(04)8798013,(04)8798139,08:00-17:00(午休12:00-13:00)
埤頭就業服務台,彰化縣埤頭鄉合興村斗苑西路138號,(04)8925246,(04)8920603,08:00-17:00(午休12:00-13:00)
芳苑就業服務台,彰化縣芳苑鄉芳苑村斗苑路芳苑段202號,(04)8981033,(04)8985529,08:00-17:00(午休12:00-13:00)
大城就業服務台,彰化縣大城鄉東城村中平路185號,(04)8941532,(04)8946675,08:00-17:00(午休12:00-13:00)
埔鹽就業服務台,彰化縣埔鹽鄉好修村中正路192號,(04)8651414,(04)8658727,08:00-17:00(午休12:00-13:00)
北斗就業服務台,彰化縣北斗鎮公所街2號,(04)8781676,(04)8782875,08:00-17:00(午休12:00-13:00)
永靖就業服務台,彰化縣永靖鄉永西村瑚璉路230號,(04)8240409,(04)8245641,08:00-17:00(午休12:00-13:00)
社頭就業服務台,彰化縣社頭鄉社斗路一段295號,(04)8711265,(04)8739448,08:00-17:00(午休12:00-13:00)
大村就業服務台,彰化縣大村鄉大村村中正西路338號,(04)8524005,(04)8534681,08:00-17:00(午休12:00-13:00)
竹塘就業服務台,彰化縣竹塘鄉竹林路一段305號,(04)8976153,(04)8976589,08:00-17:00(午休12:00-13:00)
南投就業服務台,南投市中興路660號,(049)2245727,(049)2245941,08:00-17:30(午休12:00-13:30)
草屯就業服務台,南投縣草屯鎮中山里草鞋墩一街8號,(049)2310955,(049)2310974,08:00-17:30(午休12:00-13:30)
竹山就業服務台,南投縣竹山鎮延平一路5號,(049)2642984,(049)2657814,08:00-17:00(午休12:00-13:00)
名間就業服務台,南投縣名間鄉中正村彰南路26號,(049)2736481,(049)2737910,08:00-17:00(午休12:00-13:00)
水里就業服務台,南投縣水里鄉民生路112號,(049)2771693,(049)2771978,08:00-17:00(午休12:00-13:00)
集集就業服務台,南投縣集集鎮民生路61號,(049)2760924,(049)2764467,08:00-17:00(午休12:00-13:00)
鹿谷就業服務台,南投縣鹿谷鄉鹿谷村中正路二段73號,(049)2750963,(049)2754340,08:00-17:00(午休12:00-13:00)
信義就業服務台,南投縣信義鄉明德村玉山路47號,(049)2791123,(049)2791956,08:00-17:00(午休12:00-13:00)
中寮就業服務台,南投縣中寮鄉永平村永平路270號,(049)2694148,(049)2694614,08:00-17:00(午休12:00-13:00)
國姓就業服務台,南投縣國姓鄉石門村國姓路267號,(049)2720906,(049)2720573,08:00-17:00(午休12:00-13:00)
仁愛就業服務台,南投縣仁愛鄉大同村仁和路29號,(049)2802534,(049)2990728,每週三、週五08:00-12:00(分機502)
魚池就業服務台,南投縣魚池鄉魚池村秀水路233號,(049)2895371,(049)2990728,每週二、週四08:00-12:00(分機82)
臺中產業園區就業服務台,臺中西屯區工業區五路2號1樓 ,(04)23592974,(04)23595573,08:00-17:30(午休12:00-13:30)
臺中市就業服務處,臺中市南屯區精科路26號2樓,(04)22289111,(04)23553140,08:00~17:00
市府就業服務台,臺中市西屯區臺灣大道三段99號文心樓1樓,(04)22289111,(04)22520674,08:00~17:00(午休12:00~13:00)
仁和就業服務台,臺中市東區仁和路362-1號,(04)22808369,(04)22803929,08:00~17:00(午休12:00~13:00)
大甲就業服務台,臺中市大甲區民權路52號,(04)26801493,(04)26801495,08:00~17:00(午休12:00~13:00)
大肚就業服務台,臺中市大肚區沙田路二段646號,(04)26982240,(04)26982243,08:00~17:00(午休12:00~13:00)
東勢就業服務台,臺中市東勢區北興里豐勢路518號(東勢區公所),(04)25771761,(04)25770651,08:00~17:00(午休12:00~13:00)
大里就業服務台,臺中市大里區中興路一段163號,(04)24852742,(04)24827857,08:00~17:00(午休12:00~13:00)
臺中市銀髮人才服務據點,臺中市東區仁和路362-1號1樓(東區勞工服務中心),(04)22808378,(04)22802312,08:00~17:00(午休12:00~13:00)
臺中市山線地區銀髮人才服務據點,臺中市豐原區陽明街36號1樓(陽明大樓),(04)25250110,(04)25250363,08:00~17:00(午休12:00~13:00)
臺中市海線地區銀髮人才服務據點,台中市大甲區順天路56號1樓,(04)26802291,(04)26805175,08:00~17:00(午休12:00~13:00)
臺中市原住民族就業服務據點,臺中市豐原區圓環南路70號,(04)25255398,(04)25255368,08:00~17:00(午休12:00~13:00)
彰化縣政府勞工處,彰化市中興路100號8樓,(04)7532462,(04)7271993,08:00~17:00
勞工處就業服務台,彰化市中興路100號1樓,(04)7532492,(04)7271993,08:00~17:00(午休12:00~13:00)
和美就業服務台,彰化縣和美鎮鹿和路六段337號(和美鎮公所內),(04)7568509,(04)7566553,08:00~17:00(午休12:00~13:00)
鹿港就業服務台,彰化縣鹿港鎮中正路531號1樓,(04)7840846,(04)7840848,08:00~17:00(午休12:00~13:00)
全興就業服務台,彰化縣伸港鄉興工路67號2樓(經濟部全興產業園區服務中心內2樓),(04)7977241,(04)7977243,08:00~17:00(午休12:00~13:00)
溪湖就業服務台,彰化縣溪湖鎮青雅路58號(溪湖鎮公所內),(04)8820716,(04)8820692,08:00~17:00(午休12:00~13:00)
田尾就業服務台,彰化縣田尾鄉饒平村公所路201號(田尾鄉公所內),(04)8836577,(04)8836576,08:00~17:00(午休12:00~13:00)
二林就業服務台,彰化縣二林鎮斗苑路四段636號(二林鎮公所前),(04)8969657,(04)8969664,08:00~17:00(午休12:00~13:00)
田中就業服務台,彰化縣田中鎮明慶街158號(田中地政事務所內),(04)8757001,(04)8756990,08:00~17:00(午休12:00~13:00)
彰化縣銀髮人才服務據點,彰化縣彰化市長壽街189號1樓,(04)7285155,(04)7285619,08:00~17:00(午休12:00~13:00)
南投縣銀髮人才服務據點,南投縣南投市復興路98-3號,(049)2245580,(049)2245560,08:00~17:30(午休12:00~13:30)
雲嘉南分署,臺南市官田區二鎮里工業路40號,(06)6985945,(06)6990545,08:00~17:00
臺南就業中心,臺南市東區衛民街19號,(06)2371218,(06)2346522,08:00~17:00(12:00~13:00，值班人員服務)
永康就業中心,臺南市永康區東橋里東橋二街18號,(06)2038560,(06)2038502,08:00~17:00(12:00~13:00，值班人員服務)
新營就業中心,臺南市新營區中正路102之3號,(06)6328700,(06)6321423,08:00~17:00(12:00~13:00，值班人員服務)
嘉義就業中心,嘉義市興業東路267號,(05)2240656,(05)2229415,08:00~17:00(12:00~13:00，值班人員服務)
朴子就業中心,嘉義縣朴子市嘉朴路西段87及89號,(05)3621632,(05)3621634,08:00~17:00(12:00~13:00，值班人員服務)
虎尾就業中心,雲林縣虎尾鎮文化路64號,(05)6330422,(05)6330425,08:00~17:00(12:00~13:00，值班人員服務)
斗六就業中心,雲林縣斗六市上海路222之1號,(05)5325105,(05)5345609,08:00~17:00(12:00~13:00，值班人員服務)
青年職涯發展中心(YS),台南市中西區北門路一段173號,(06)3020036,(06)3020036,08:30~17:30(12:00~13:00，值班人員服務)
雲嘉南區銀髮人才資源中心,臺南市東區長榮路一段181號4樓,(06)2751717,(06)2752727,08:00~17:00(12:00~13:00
安平就業服務台,臺南市南區中華西路一段67號,(06)2638438,(06)2617903,08:00~17:00(午休12:00~13:00)
關廟就業服務台,臺南市關廟區香洋里中正路998號,(06)5959298,(06)5959298,08:00~17:00(午休12:00~13:00)
將軍就業服務台,臺南市將軍區忠嘉?忠興190號1?,(06)7945082,(06)7945082,08:00~17:00(午休12:00~13:00)
安定就業服務台,臺南市安定區安定里59之2號,(06)5975508,(06)5975508,08:00~17:00(午休12:00~13:00)
楠西就業服務台,臺南市楠西區楠西里中正路230號,(06)5752114,(06)5752114,08:00~17:00(午休12:00~13:00)
